ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-183.59,-122.13,766.6,0.05,0.03,0.0,50255,3111,2425,-36.67,58.62,45.14,4.29
-185.61,-123.17,765.62,-0.02,-0.02,-0.11,50244,3093,2394,-103.33,-25.82,5.82,4.3
-184.69,-120.79,767.64,-0.08,0.06,-0.01,50255,3115,2411,-105.87,50.49,-34.81,4.29
-187.13,-120.12,766.54,-0.02,0.06,0.05,50255,3122,2421,-119.51,-14.93,29.54,4.29
-183.53,-121.15,764.34,-0.06,-0.04,-0.1,50250,3102,2406,-105.73,28.72,-50.35,4.29
-184.02,-120.42,766.24,0.07,0.02,-0.02,50257,3109,2402,-108.45,-0.43,37.33,4.29
-186.65,-122.68,767.03,-0.07,-0.08,-0.03,50266,3111,2404,-100.92,9.13,-54.65,4.29
-185.06,-121.52,766.05,-0.12,-0.05,0.03,50267,3106,2402,-78.0,21.28,44.68,4.29
-184.81,-120.73,764.28,-0.14,-0.05,0.0,50242,3113,2416,-89.44,-12.25,-50.63,4.29
-184.51,-123.23,762.82,-0.02,0.02,-0.13,50253,3095,2413,-34.18,42.9,60.66,4.29
-185.79,-119.32,767.21,-0.02,-0.07,0.05,50244,3125,2425,-83.93,-30.41,-24.64,4.29
-185.06,-123.6,766.72,-0.1,-0.14,-0.02,50257,3120,2413,-76.7,61.76,0.95,4.29
-185.55,-123.05,760.86,-0.03,0.06,-0.05,50242,3113,2409,-115.94,-21.41,17.06,4.29
-184.88,-121.28,765.01,-0.05,0.08,0.04,50267,3095,2392,-102.18,45.54,-41.65,4.29
-185.18,-120.36,769.41,0.07,-0.05,-0.18,50242,3113,2416,-120.28,-10.1,34.78,4.29
-183.59,-121.77,765.38,-0.05,-0.06,0.05,50250,3102,2416,-103.7,19.57,-53.02,4.29
-185.0,-123.35,768.49,0.08,-0.11,-0.12,50258,3093,2404,-97.19,8.42,39.09,4.29
-184.81,-122.07,767.88,-0.03,0.09,-0.02,50246,3113,2409,-96.31,0.55,-54.33,4.29
-185.85,-121.34,765.81,0.04,-0.11,-0.08,50258,3097,2414,-59.57,31.13,51.25,4.29
-184.39,-119.81,767.88,-0.1,0.03,0.07,50257,3102,2413,-84.47,-21.95,-43.31,4.29
-182.07,-119.63,766.97,-0.11,-0.01,-0.01,50258,3104,2414,-30.44,53.3,55.07,4.29
-185.55,-123.23,768.25,-0.02,0.05,0.02,50253,3106,2389,-95.71,-28.91,-3.72,4.29
-184.94,-121.22,770.81,-0.02,0.08,-0.04,50241,3108,2407,-102.73,54.12,-27.54,4.29
-183.53,-122.31,763.55,0.08,-0.27,-0.05,50246,3113,2399,-119.06,-18.45,25.01,4.29
-185.55,-123.41,765.08,-0.02,-0.02,-0.05,50269,3101,2401,-105.59,36.03,-47.97,4.29
-183.53,-123.11,766.11,-0.08,-0.02,-0.02,50242,3109,2416,-115.15,-5.67,36.29,4.29
-186.16,-121.34,768.8,-0.01,-0.02,0.06,50241,3104,2418,-102.82,14.37,-53.99,4.29
-183.78,-123.47,764.1,-0.02,-0.15,-0.02,50253,3092,2430,-88.43,14.65,41.23,4.29
-184.81,-120.48,767.33,0.0,-0.04,0.0,50257,3109,2416,-93.12,-5.53,-52.95,4.29
-186.1,-122.31,766.78,0.08,-0.18,0.02,50269,3115,2404,-46.32,37.02,56.43,4.29
-184.39,-121.95,764.47,-0.04,-0.02,-0.04,50257,3095,2409,-83.01,-26.95,-35.68,4.29
-184.39,-120.61,766.42,-0.08,-0.15,0.08,50246,3099,2392,-44.24,60.68,36.47,4.29
-184.51,-120.3,764.34,0.13,-0.02,-0.04,50235,3109,2416,-106.89,-24.62,9.33,4.29
-183.53,-123.72,768.92,0.02,0.06,0.02,50244,3097,2425,-105.51,49.01,-37.45,4.29
-182.98,-122.07,768.37,-0.03,-0.19,-0.02,50266,3108,2407,-120.23,-13.61,31.45,4.29
-183.65,-120.54,767.88,-0.03,-0.02,-0.04,50257,3106,2420,-105.25,25.86,-51.18,4.29
-185.12,-122.01,763.79,0.0,-0.02,-0.01,50269,3108,2414,-105.26,2.14,37.54,4.29
-183.78,-121.46,765.62,-0.02,-0.02,-0.04,50262,3115,2414,-99.37,6.62,-54.66,4.29
-185.97,-120.97,766.3,-0.02,0.08,0.01,50246,3102,2402,-72.91,24.32,46.25,4.29
-184.33,-123.11,768.68,-0.07,-0.1,-0.01,50264,3106,2395,-87.85,-15.3,-48.97,4.29
-183.65,-123.23,764.59,-0.02,0.02,-0.03,50250,3113,2416,-30.39,45.63,61.24,4.29
-184.94,-122.74,765.62,0.01,-0.1,-0.07,50246,3113,2413,-86.16,-30.83,-18.85,4.29
-182.56,-117.49,767.15,0.06,0.02,-0.04,50264,3102,2413,-87.85,59.4,-9.79,4.29
