ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-160.52,-163.57,836.61,-0.04,-0.08,-0.08,50198,3132,2380,-114.16,-4.83,35.63,4.29
-161.19,-158.45,836.36,-0.02,0.11,-0.05,50187,3132,2383,-97.56,9.78,-57.33,4.29
-162.05,-164.0,837.22,-0.06,0.13,-0.04,50193,3124,2385,-86.33,16.01,39.91,4.29
-161.01,-161.07,836.43,0.08,-0.1,0.01,50178,3127,2382,-89.79,-9.89,-54.03,4.29
-163.7,-161.93,836.55,0.01,0.05,-0.11,50200,3141,2378,-42.55,38.75,56.53,4.29
-158.14,-159.67,839.05,-0.04,-0.02,0.01,50203,3141,2382,-82.21,-30.6,-32.02,4.29
-161.99,-160.52,838.44,-0.12,0.05,-0.07,50189,3134,2375,-58.82,61.37,17.83,4.29
-160.16,-160.89,834.9,-0.08,0.09,-0.05,50187,3125,2394,-114.12,-23.3,13.57,4.29
-156.74,-159.18,838.5,-0.07,0.07,0.15,50212,3125,2387,-98.25,44.97,-41.74,4.29
-159.91,-160.89,838.56,-0.11,0.13,0.11,50189,3131,2385,-123.71,-12.92,32.98,4.29
-159.3,-159.06,835.88,-0.05,-0.01,-0.05,50189,3116,2378,-98.62,20.01,-55.4,4.29
-163.27,-162.78,834.84,0.08,0.04,-0.06,50182,3116,2375,-103.71,3.17,36.38,4.29
-160.03,-158.2,838.56,0.02,-0.02,0.05,50207,3145,2382,-94.6,2.14,-57.05,4.29
-159.97,-160.28,836.12,-0.1,0.1,0.0,50196,3113,2375,-70.35,25.83,45.18,4.29
-162.66,-161.62,831.48,-0.08,0.02,-0.03,50194,3122,2363,-86.14,-18.86,-48.32,4.29
-158.26,-161.01,839.11,-0.07,0.03,-0.1,50177,3143,2370,-31.13,46.88,58.01,4.29
-160.64,-158.75,838.13,-0.07,-0.02,0.04,50187,3118,2387,-88.69,-31.81,-14.59,4.29
-163.15,-162.11,835.08,-0.08,-0.04,0.04,50212,3129,2363,-93.79,55.73,-20.52,4.29
-161.32,-164.37,833.68,-0.09,0.1,-0.02,50198,3122,2370,-121.5,-21.26,20.54,4.29
-162.54,-162.96,835.82,-0.11,0.0,-0.11,50201,3132,2380,-96.89,40.48,-47.18,4.29
-162.84,-162.41,835.45,-0.12,-0.02,0.02,50198,3129,2387,-122.18,-10.08,35.56,4.29
-159.06,-161.13,836.18,-0.05,0.0,0.02,50219,3129,2387,-98.24,14.58,-56.99,4.29
-163.57,-161.19,838.81,-0.11,-0.11,0.02,50189,3141,2385,-94.93,9.78,38.25,4.29
-162.11,-162.48,835.69,-0.15,0.0,0.08,50194,3125,2383,-92.34,-4.15,-56.28,4.29
-164.18,-161.99,836.43,-0.06,-0.14,0.03,50191,3132,2380,-54.52,33.36,51.94,4.29
-160.95,-163.64,837.95,-0.04,-0.01,-0.13,50198,3122,2380,-82.85,-26.34,-40.82,4.29
-161.07,-159.18,838.07,-0.14,-0.1,0.02,50212,3122,2390,-35.53,56.49,45.67,4.29
-159.12,-163.27,837.28,-0.03,-0.08,0.01,50196,3134,2385,-102.83,-27.39,3.95,4.29
-163.64,-163.7,835.75,-0.07,-0.01,-0.05,50173,3147,2383,-103.21,48.86,-36.95,4.29
-162.41,-162.6,836.0,0.01,-0.04,-0.01,50180,3132,2377,-123.35,-16.42,28.88,4.29
-163.27,-162.35,836.06,-0.1,-0.06,-0.01,50196,3131,2378,-99.52,27.6,-53.31,4.29
-159.79,-163.94,837.95,-0.01,0.05,-0.05,50201,3125,2394,-113.01,-3.91,35.85,4.29
-160.77,-160.52,836.06,-0.1,-0.03,0.02,50201,3122,2390,-97.23,8.66,-57.59,4.29
-163.21,-159.55,835.57,-0.05,-0.02,-0.11,50184,3122,2373,-83.67,17.73,41.17,4.29
-161.87,-162.48,837.28,-0.05,0.01,0.08,50214,3127,2371,-88.89,-11.75,-53.59,4.29
-162.72,-163.02,832.46,0.05,-0.04,-0.06,50187,3132,2380,-38.61,40.3,58.16,4.29
-159.55,-159.85,836.49,-0.1,-0.02,-0.1,50198,3125,2370,-82.61,-31.33,-28.86,4.29
-160.46,-161.99,834.41,-0.06,0.02,0.05,50201,3129,2383,-68.28,61.0,7.34,4.29
-160.4,-159.79,838.07,-0.06,0.01,-0.14,50205,3136,2387,-116.63,-22.66,15.53,4.3
-161.56,-162.9,837.04,-0.1,-0.12,0.02,50201,3125,2363,-97.47,44.4,-43.61,4.29
-157.53,-160.22,834.96,-0.11,0.12,0.08,50205,3118,2377,-123.77,-11.94,34.53,4.29
-164.98,-162.96,831.48,0.05,-0.05,-0.01,50180,3140,2370,-99.22,17.96,-56.31,4.29
-161.8,-163.21,835.63,-0.11,0.02,-0.05,50171,3134,2378,-100.56,5.64,37.16,4.29
-160.71,-160.46,837.04,-0.07,-0.11,-0.09,50203,3138,2378,-93.75,-0.39,-57.02,4.29
-152.04,-162.9,836.73,-0.12,-0.21,0.18,50196,3116,2375,-65.38,28.29,47.23,4.29
-161.44,-162.6,835.45,-0.04,0.18,-0.12,50198,3118,2387,-84.93,-21.4,-46.19,4.29
-158.14,-161.87,843.81,-0.07,-0.16,-0.02,50189,3127,2385,-30.82,49.73,55.64,4.29
-158.51,-161.44,836.06,-0.12,-0.03,0.02,50205,3108,2366,-92.83,-30.86,-8.58,4.29
-162.66,-162.05,834.84,-0.02,-0.14,0.11,50184,3129,2383,-98.54,53.48,-26.58,4.29
-161.5,-160.03,834.72,-0.06,-0.05,-0.03,50194,3132,2383,-122.07,-20.13,23.33,4.29
-160.83,-163.33,835.69,-0.02,-0.04,-0.07,50185,3124,2378,-98.55,36.31,-49.69,4.29
-163.45,-161.56,833.68,-0.05,0.02,0.05,50185,3124,2382,-119.78,-8.51,35.79,4.29
-164.49,-161.68,837.83,-0.08,-0.05,0.01,50189,3148,2382,-98.6,13.24,-57.18,4.29
-158.08,-161.99,835.21,0.07,-0.05,0.04,50205,3115,2387,-93.03,11.23,38.73,4.29
-161.07,-160.83,837.16,-0.09,0.11,0.06,50189,3120,2385,-91.56,-5.65,-55.84,4.29
-160.4,-161.07,834.05,0.0,0.02,0.02,50210,3127,2378,-51.8,34.63,53.01,4.29
-160.89,-163.27,837.16,-0.05,-0.04,-0.09,50184,3129,2370,-82.62,-27.35,-39.07,4.29
-162.41,-161.13,837.4,-0.08,-0.09,0.07,50185,3113,2382,-38.77,58.16,41.04,4.29
-160.46,-161.44,834.72,-0.13,-0.06,-0.01,50180,3122,2366,-105.67,-26.04,6.98,4.29
-160.22,-160.89,834.17,-0.07,0.08,-0.03,50184,3129,2380,-102.78,47.34,-38.51,4.29
-163.02,-163.51,834.17,-0.02,0.03,-0.05,50194,3129,2370,-123.36,-15.47,29.58,4.29
-161.01,-161.87,833.62,-0.05,0.02,-0.05,50184,3118,2380,-98.98,25.92,-53.84,4.29
-162.72,-165.34,835.94,0.01,0.08,-0.05,50194,3108,2377,-111.21,-2.52,35.67,4.29
-159.48,-160.34,837.4,0.06,0.02,-0.04,50194,3136,2373,-96.46,7.44,-57.58,4.29
-159.85,-162.9,836.18,-0.04,-0.04,0.14,50189,3138,2368,-81.8,18.89,41.29,4.29
-161.38,-162.23,836.12,-0.02,-0.08,-0.05,50185,3134,2371,-88.75,-12.57,-52.72,4.29
-158.02,-162.9,836.18,-0.05,0.04,-0.01,50198,3118,2383,-38.47,40.83,57.76,4.29
-164.43,-162.05,834.23,0.08,-0.04,0.02,50201,3118,2380,-83.74,-30.74,-27.99,4.29
-160.71,-163.09,838.01,-0.05,-0.07,0.0,50214,3120,2378,-68.55,60.61,7.27,4.29
-164.12,-163.7,835.39,-0.05,-0.02,0.01,50216,3132,2380,-116.6,-22.57,14.26,4.29
-161.5,-163.21,835.33,-0.03,-0.09,-0.01,50198,3132,2377,-95.55,45.89,-41.97,4.29
-162.66,-161.87,834.17,-0.08,0.02,-0.03,50200,3131,2382,-124.14,-12.03,34.02,4.29
-160.89,-161.8,832.03,0.01,-0.08,0.03,50221,3131,2399,-98.23,18.27,-56.18,4.29
-162.05,-160.95,836.06,-0.07,0.03,-0.05,50203,3131,2382,-101.15,5.09,37.04,4.29
-160.16,-163.02,832.21,-0.06,0.08,0.08,50169,3118,2383,-94.1,0.18,-57.29,4.29
-162.35,-162.48,835.27,-0.02,-0.05,0.03,50184,3122,2380,-64.95,28.53,47.56,4.29
-162.35,-160.1,836.36,-0.01,-0.08,-0.02,50182,3127,2392,-84.59,-21.78,-46.05,4.29
-163.21,-164.79,837.77,-0.1,0.11,0.01,50193,3120,2389,-29.56,50.68,55.67,4.29
-164.25,-164.18,832.89,-0.03,0.05,0.02,50191,3132,2394,-94.16,-29.85,-6.61,4.3
-160.22,-159.97,839.11,-0.17,-0.06,0.05,50185,3120,2389,-99.57,52.08,-27.5,4.29
-164.31,-163.76,834.41,0.02,-0.05,0.0,50194,3118,2380,-121.82,-20.04,22.37,4.29
-164.31,-162.6,834.59,-0.05,0.0,0.02,50209,3132,2383,-97.84,37.66,-48.86,4.29
-163.09,-160.58,838.56,-0.08,0.01,0.07,50200,3124,2385,-120.61,-9.07,35.89,4.29
-163.27,-164.12,832.09,0.03,-0.11,-0.04,50205,3132,2380,-98.78,13.58,-57.39,4.29
-163.27,-163.7,836.0,-0.11,-0.06,0.02,50200,3124,2382,-93.06,11.28,38.74,4.29
-161.56,-165.89,833.86,-0.05,0.01,-0.03,50196,3138,2371,-91.6,-5.68,-56.23,4.29
-162.17,-161.74,834.29,-0.04,0.02,-0.02,50214,3113,2402,-51.06,34.78,53.63,4.29
-187.07,-165.34,821.35,0.23,0.31,-0.08,50205,3140,2380,-84.94,-24.7,-39.13,4.29
-155.33,-160.46,841.19,-0.08,-0.47,0.23,50212,3136,2380,-39.79,54.93,42.61,4.29
-162.6,-161.87,836.24,0.04,-0.04,-0.08,50214,3138,2389,-102.73,-26.89,0.53,4.29
-163.33,-162.78,837.4,0.01,-0.01,0.01,50193,3113,2375,-97.57,52.08,-30.99,4.29
-162.72,-163.39,832.89,-0.1,-0.14,-0.05,50194,3143,2377,-123.68,-17.49,26.76,4.29
-165.71,-161.8,829.53,-0.07,0.0,-0.02,50198,3129,2383,-98.5,31.42,-52.01,4.29
-161.32,-161.13,836.85,-0.11,-0.02,0.05,50194,3129,2383,-116.35,-6.22,36.09,4.29
-164.86,-165.16,834.53,-0.01,-0.02,-0.03,50203,3116,2375,-98.39,10.83,-57.79,4.29
-163.45,-163.39,836.06,-0.13,0.02,0.01,50214,3116,2389,-87.8,15.03,40.13,4.29
-163.09,-161.99,837.16,-0.03,0.05,-0.03,50191,3132,2397,-90.02,-9.15,-54.75,4.29
-162.6,-161.19,834.29,-0.08,-0.11,-0.05,50177,3136,2390,-43.7,37.96,56.46,4.29
-164.79,-161.07,836.12,0.02,-0.07,-0.06,50189,3127,2385,-82.36,-29.65,-33.65,4.29
-161.68,-164.0,835.94,-0.02,-0.14,-0.05,50187,3125,2373,-53.89,60.86,23.16,4.29
-165.65,-164.31,833.98,-0.07,0.11,0.02,50182,3138,2392,-112.65,-23.16,11.65,4.29
-163.82,-164.86,832.89,-0.16,-0.08,-0.01,50194,3122,2383,-98.17,46.48,-41.03,4.29
-163.7,-163.02,831.67,-0.05,-0.02,0.02,50182,3127,2395,-124.08,-13.01,32.71,4.29
-162.11,-163.64,832.09,-0.05,-0.04,0.05,50191,3125,2370,-98.41,20.61,-55.73,4.29
-159.97,-161.68,833.31,0.02,0.02,0.0,50194,3125,2377,-104.68,2.4,36.65,4.29
-162.54,-164.31,833.98,-0.08,0.08,-0.06,50196,3145,2389,-95.28,2.82,-57.65,4.29
-164.31,-164.31,834.41,-0.04,-0.07,0.03,50193,3120,2371,-70.73,25.53,45.28,4.29
-162.72,-162.05,833.8,-0.09,0.08,0.06,50194,3122,2383,-85.98,-18.79,-48.7,4.29
-161.68,-161.01,836.18,-0.05,-0.08,-0.05,50207,3124,2385,-30.36,46.93,58.58,4.29
-164.49,-164.73,834.47,-0.1,-0.05,-0.05,50205,3150,2383,-88.99,-31.38,-14.82,4.29
-164.61,-163.82,835.14,-0.08,0.0,-0.05,50178,3131,2399,-92.82,56.05,-19.62,4.29
